",stars,ratings,discounts,prices,brand,energy_rating,capacity,max_spin_speed"
"235,4.5,""5,680 Ratings "",20% off,""â‚¹17,490"",LG,5,10 kg,1300 rpm"
"236,4.3,""12,467 Ratings "",38% off,""â‚¹14,490"",Panasonic,5,6.5 kg,700 rpm"
"237,4.3,""15,074 Ratings "",31% off,""â‚¹39,990"",SAMSUNG,5,9 kg,1400 rpm"
"238,4.3,""1,165 Ratings "",39% off,""â‚¹8,999"",Lloyd,5,7 kg,1400 rpm"
"239,4.1,""8,296 Ratings "",57% off,""â‚¹24,490"",MOTOROLA,5,10.5 kg,1400 rpm"
"240,4.3,""15,074 Ratings "",25% off,""â‚¹37,990"",SAMSUNG,5,9 kg,1400 rpm"
"241,4.5,19 Ratings ,30% off,""â‚¹13,990"",Godrej,5,10 kg,1400 rpm"
"242,4.3,""54,410 Ratings "",45% off,""â‚¹8,190"",MarQ by Flipkart,5,7.5 kg,1350 rpm"
"243,4.3,""54,410 Ratings "",32% off,""â‚¹6,790"",MarQ by Flipkart,5,6 kg,1350 RPM"
"244,4.1,""1,255 Ratings "",57% off,""â‚¹24,990"",realme TechLife,5,10 kg,1400 RPM"
"245,4.2,82 Ratings ,30% off,""â‚¹27,500"",BOSCH,5,8 kg,680 RPM"
"246,4.1,""2,236 Ratings "",24% off,""â‚¹5,650"",Voltas Beko,7.5 kg,Pulsator,No"
"247,4.4,44 Ratings ,20% off,""â‚¹41,990"",SAMSUNG,5,8 kg,1400 rpm"
"248,4.3,""15,074 Ratings "",37% off,""â‚¹34,990"",SAMSUNG,5,8 kg,1400 rpm"
"249,3.9,,26% off,""â‚¹44,999"",SAMSUNG,5,12 kg,1400 RPM"
"250,4,776 Ratings ,50% off,""â‚¹25,490"",Voltas Beko,5,8 kg,1200 rpm"
"251,4.3,""14,730 Ratings "",33% off,""â‚¹14,990"",Voltas Beko,5,12 Kg,1350 rpm"
"252,,,26% off,""â‚¹45,345"",SAMSUNG,5,9 kg,1400 RPM"
"253,4.1,""19,754 Ratings "",25% off,""â‚¹9,999"",Thomson,5,8.5 kg,1400 RPM"
"254,4.5,""5,015 Ratings "",21% off,""â‚¹16,490"",LG,5,8.5 kg,1300 rpm"
"255,4.2,485 Ratings ,31% off,""â‚¹14,690"",Godrej,5,8 kg,1400 rpm"
"256,4.4,32 Ratings ,27% off,""â‚¹24,990"",IFB,5,6 kg,1000 rpm"
